ï»¿Room ID,Name,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates,Location
17906477,A small cozy apartment in lovely Hornstull,33922942,SÃ¶dermalms,Entire home/apt,551.0,1,9,2018-09-02,0.28,1,0,2020-06-26,Stockholm,Sweden,"59.31862083524972, 18.02690615361157","Sweden, Stockholm, SÃ¶dermalms"
18031442,Modern 3 room apartment close to Stockholm city,120865271,Ãstermalms,Entire home/apt,1598.0,3,1,2017-06-21,0.03,1,0,2020-06-26,Stockholm,Sweden,"59.34629878162372, 18.106768907663128","Sweden, Stockholm, Ãstermalms"
18236067,Roomy artists apartment in central Stockholm,3194595,Kungsholmens,Entire home/apt,916.0,3,13,2019-07-30,0.35,1,0,2020-06-26,Stockholm,Sweden,"59.33263674117663, 18.02994678410723","Sweden, Stockholm, Kungsholmens"
18247286,Sunny apartment near water in central Stockholm,4677734,Kungsholmens,Entire home/apt,1654.0,10,5,2018-04-08,0.14,1,0,2020-06-26,Stockholm,Sweden,"59.324196883838425, 18.0050688693679","Sweden, Stockholm, Kungsholmens"
18283701,Picturesque cottage with garden on SÃ¶dermalm.,86142232,SÃ¶dermalms,Entire home/apt,944.0,2,2,2018-07-24,0.08,1,0,2020-06-26,Stockholm,Sweden,"59.317539266015515, 18.08583351819722","Sweden, Stockholm, SÃ¶dermalms"
18365928,Newly renovated apartment close to Metro and City,127157496,Farsta,Entire home/apt,924.0,1,229,2020-03-15,5.98,1,350,2020-06-26,Stockholm,Sweden,"59.26522526621632, 18.086623692570264","Sweden, Stockholm, Farsta"
18535266,Modern villa with 6 rooms in calm area,113038459,Farsta,Entire home/apt,1904.0,3,5,2020-06-19,0.2,1,222,2020-06-26,Stockholm,Sweden,"59.267616056516985, 18.085876367866792","Sweden, Stockholm, Farsta"
18621820,"Stylish and super central, 65 Sq.m flat",129365804,Norrmalms,Entire home/apt,1390.0,3,22,2019-08-27,0.59,1,86,2020-06-26,Stockholm,Sweden,"59.33522921942877, 18.05263133372287","Sweden, Stockholm, Norrmalms"
18655178,Beautiful city center apartment,42605859,Norrmalms,Entire home/apt,1196.0,3,1,2017-06-30,0.03,3,0,2020-06-26,Stockholm,Sweden,"59.34263861868461, 18.061435344864474","Sweden, Stockholm, Norrmalms"
18700612,48mÂ² / 515ftÂ² Location! Location! Location!,21717176,Norrmalms,Entire home/apt,1036.0,3,20,2019-08-24,0.54,1,87,2020-06-26,Stockholm,Sweden,"59.338582816412625, 18.03678223066243","Sweden, Stockholm, Norrmalms"
18752200,Calm area and friendly host,122600291,HÃ¤sselby-VÃ¤llingby,Private room,206.0,3,27,2019-11-04,0.72,2,0,2020-06-26,Stockholm,Sweden,"59.359090021454456, 17.88357140221921","Sweden, Stockholm, HÃ¤sselby-VÃ¤llingby"
18838543,House with a garden close to nature & city centre,3828145,SkarpnÃ¤cks,Entire home/apt,1101.0,3,10,2020-03-01,0.28,1,43,2020-06-26,Stockholm,Sweden,"59.26983715051509, 18.138286031807144","Sweden, Stockholm, SkarpnÃ¤cks"
18861813,Beautiful house with a lovely garden close to town,29427184,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,2902.0,3,25,2019-11-03,0.68,1,51,2020-06-26,Stockholm,Sweden,"59.289339602237746, 18.067785224015104","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
18865520,Nice place to enjoy your vacation,116188879,Farsta,Private room,999.0,1,3,2018-04-24,0.11,1,0,2020-06-26,Stockholm,Sweden,"59.25777341065797, 18.083462651000435","Sweden, Stockholm, Farsta"
